"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl14.2",1.37721512174538e-197,-1.0654889012971,0.447,0.912,2.44345506900066e-193,"4","Rpl14"
"Trim30d.1",2.00001941102786e-197,0.893084046661804,0.47,0.345,3.54843443904563e-193,"4","Trim30d"
"Rpl22l1.3",2.69990933496417e-197,-0.999232528091616,0.157,0.758,4.79017914209343e-193,"4","Rpl22l1"
"Nudt4.3",3.35683011384544e-197,1.00575850497881,0.568,0.314,5.95568798798457e-193,"4","Nudt4"
"Midn",5.96770236745154e-197,0.718392035018932,0.411,0.294,1.05878975403325e-192,"4","Midn"
"Tmem189",8.40582113680185e-196,0.752610772547408,0.434,0.345,1.49136078609138e-191,"4","Tmem189"
"Syk.2",3.63960947574971e-195,0.876302083718781,0.625,0.458,6.45739513187513e-191,"4","Syk"
"Isg20.1",1.25648907148451e-194,1.20385823907789,0.445,0.213,2.22926291062782e-190,"4","Isg20"
"Cebpd.2",1.95561669950119e-194,1.09468214395848,0.594,0.39,3.46965514825501e-190,"4","Cebpd"
"Ier2.3",2.42130676417744e-194,1.03287420869827,0.663,0.567,4.29588246100362e-190,"4","Ier2"
"Eef1b2.3",3.72706663583582e-194,-1.00714472487267,0.435,0.909,6.61256162529991e-190,"4","Eef1b2"
"G0s2",4.0792230075413e-194,2.23171696579096,0.483,0.09,7.23735745997977e-190,"4","G0s2"
"Atp6v1g1.2",4.26832592000091e-194,0.737669104036518,0.781,0.77,7.57286384726561e-190,"4","Atp6v1g1"
"Cox17.2",5.21174425240566e-193,0.692995349468312,0.62,0.667,9.24667665261812e-189,"4","Cox17"
"mt-Nd2.2",1.86011235289286e-192,-0.968170800053914,0.471,0.923,3.30021133650252e-188,"4","mt-Nd2"
"Osgin1",2.59680354771232e-192,1.11032712908779,0.376,0.048,4.6072488543512e-188,"4","Osgin1"
"Iqsec1",2.12118253324052e-191,0.869700095814417,0.419,0.19,3.76340205047533e-187,"4","Iqsec1"
"Rpl9.3",3.83666046148924e-191,-0.969875046409838,0.779,0.959,6.80700299077422e-187,"4","Rpl9"
"Kdm6b.1",5.50131185713276e-191,1.00350332921785,0.507,0.284,9.76042749692494e-187,"4","Kdm6b"
"Amer2",7.22165351328354e-191,1.02471511488317,0.354,0.026,1.28126576632677e-186,"4","Amer2"
"Rpl17.3",8.42215640444886e-191,-1.0003899820707,0.795,0.969,1.49425898927732e-186,"4","Rpl17"
"Cd24a",1.00808392001719e-190,1.31665531824826,0.612,0.142,1.7885424908945e-186,"4","Cd24a"
"Ptma.2",1.35891304141635e-190,-1.11268403077754,0.507,0.927,2.41098351808089e-186,"4","Ptma"
"Rps17.2",1.91292212324414e-190,-0.94397578269524,0.39,0.891,3.39390643105976e-186,"4","Rps17"
"Selenow.3",3.64314676469198e-190,-0.982466766176036,0.083,0.671,6.46367098991651e-186,"4","Selenow"
"Klf7",6.47583857144063e-190,0.844217816183136,0.448,0.299,1.148943279345e-185,"4","Klf7"
"Ifrd1",8.18040157686357e-190,0.831729445159681,0.223,0.267,1.45136684776713e-185,"4","Ifrd1"
"Ppia.1",1.45369735263287e-189,-0.877971923854406,0.556,0.938,2.57914984304124e-185,"4","Ppia"
"Cox7c.3",2.69658594981748e-188,-0.793803619200614,0.373,0.891,4.78428279216617e-184,"4","Cox7c"
"Ncf4.4",4.6696003123466e-187,0.808306744789597,0.625,0.511,8.28480487416533e-183,"4","Ncf4"
"Eef1g.2",2.25914581131873e-186,-0.790537148331539,0.17,0.754,4.00817649844169e-182,"4","Eef1g"
"Tiparp",3.29749153908865e-186,0.91469964967309,0.313,0.198,5.85040948865109e-182,"4","Tiparp"
