"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf114.1",7.36920492388873e-05,-0.551659325177045,0.128,0.395,1,"Macrophages","Rnf114"
"Snrk.5",7.37708904291137e-05,-0.573853561539144,0.205,0.362,1,"Macrophages","Snrk"
"Cmtm6.6",7.37796827909208e-05,-0.479525789943559,0.333,0.393,1,"Macrophages","Cmtm6"
"Elk4.3",7.43239175993092e-05,-0.533749734560293,0.179,0.399,1,"Macrophages","Elk4"
"Siglecg.7",7.44742158613062e-05,-0.473904612546419,0.026,0.252,1,"Macrophages","Siglecg"
"Plac8.6",7.46728215267642e-05,-0.897236125762483,0.051,0.338,1,"Macrophages","Plac8"
"Akap8.1",7.49455717669585e-05,-0.480861371716123,0.051,0.284,1,"Macrophages","Akap8"
"Ddx39b.1",7.51497238980065e-05,-0.547150511471101,0.256,0.449,1,"Macrophages","Ddx39b"
"Hp1bp3.2",7.56649298672404e-05,-0.518919754402465,0.231,0.412,1,"Macrophages","Hp1bp3"
"Sf3b3.1",7.58181402104378e-05,-0.432357708253249,0.231,0.361,1,"Macrophages","Sf3b3"
"Esyt1.5",7.60158134723066e-05,-0.691464587495829,0.205,0.5,1,"Macrophages","Esyt1"
"Epb41.3",7.61977042398667e-05,-0.492727605031653,0.077,0.333,1,"Macrophages","Epb41"
"Gars",7.62989038100623e-05,0.26575107353521,0.41,0.188,1,"Macrophages","Gars"
"Taf6l",7.67275949584997e-05,-0.41945792279966,0.231,0.351,1,"Macrophages","Taf6l"
"Setd1b.1",7.67424807386293e-05,-0.447791846746619,0.308,0.4,1,"Macrophages","Setd1b"
"Serinc3.5",7.70825635559926e-05,-0.42717902271478,0.436,0.757,1,"Macrophages","Serinc3"
"Gas7.1",7.72552049466952e-05,0.690945981376836,0.359,0.103,1,"Macrophages","Gas7"
"Cebpb.8",7.7531254055446e-05,0.673523589373054,0.718,0.446,1,"Macrophages","Cebpb"
"Atpif1.2",7.76204904877101e-05,0.527061366702678,0.436,0.329,1,"Macrophages","Atpif1"
"BC005624.2",7.826465662436e-05,-0.469995829385178,0.205,0.36,1,"Macrophages","BC005624"
"Numa1.3",7.84963400400778e-05,-0.596156888685797,0.205,0.462,1,"Macrophages","Numa1"
"Dennd1c.3",8.05835008811184e-05,-0.563531521805601,0.077,0.306,1,"Macrophages","Dennd1c"
"Pten.3",8.11181000081726e-05,-0.482411429693901,0.333,0.584,1,"Macrophages","Pten"
"Arid1b",8.21722267278679e-05,-0.412374873596385,0.179,0.301,1,"Macrophages","Arid1b"
"Zc3h7a.1",8.2897224819368e-05,-0.497200335315443,0.282,0.384,1,"Macrophages","Zc3h7a"
"Tiam1.3",8.39102110847836e-05,0.27758146163071,0.256,0.049,1,"Macrophages","Tiam1"
"Ndufb8.2",8.42865003907505e-05,0.651833491148494,0.513,0.398,1,"Macrophages","Ndufb8"
"Rnf44",8.51692137735122e-05,-0.495635011821166,0.026,0.26,1,"Macrophages","Rnf44"
"Ccpg1.7",8.61707172377083e-05,-0.561415176556671,0.179,0.259,1,"Macrophages","Ccpg1"
"Usp24.1",8.69471873278864e-05,-0.253247635203562,0.282,0.249,1,"Macrophages","Usp24"
"Bhlhe40.2",8.70125336952423e-05,0.855791375394142,0.333,0.137,1,"Macrophages","Bhlhe40"
"Pdpk1.1",8.77177444710909e-05,-0.338667955975172,0.231,0.289,1,"Macrophages","Pdpk1"
"Pbxip1.6",8.77411423644018e-05,-0.502151095985942,0.385,0.61,1,"Macrophages","Pbxip1"
"Gpx4.4",8.81581700303998e-05,0.327985690407599,0.538,0.648,1,"Macrophages","Gpx4"
"Zfp652.2",8.99847564396447e-05,-0.441526170369343,0.256,0.35,1,"Macrophages","Zfp652"
"Tsc22d4.2",9.01419971966005e-05,-0.373836698683173,0.41,0.735,1,"Macrophages","Tsc22d4"
"Ankrd13a.4",9.10285289680545e-05,-0.487276745422011,0.308,0.445,1,"Macrophages","Ankrd13a"
"Tmcc3.1",9.16509731230564e-05,0.323699437841327,0.282,0.061,1,"Macrophages","Tmcc3"
"Rictor.1",9.1735256060762e-05,-0.499296178244128,0.205,0.375,1,"Macrophages","Rictor"
"Mga.2",9.18759599996365e-05,-0.513906044579118,0.231,0.387,1,"Macrophages","Mga"
"Tnfrsf1a.9",9.26972555646444e-05,-0.480104192517861,0.385,0.337,1,"Macrophages","Tnfrsf1a"
"Gzma.8",9.28415510808133e-05,-2.63147799913205,0.154,0.428,1,"Macrophages","Gzma"
"Hsd11b1.6",9.32613428981e-05,-0.599701074500188,0.051,0.311,1,"Macrophages","Hsd11b1"
"Heca.2",9.42300673225693e-05,-0.475265349167052,0.282,0.409,1,"Macrophages","Heca"
"Nop56.2",9.42724108487189e-05,-0.469904386935684,0.231,0.343,1,"Macrophages","Nop56"
"Bcl9l.3",9.50443779767304e-05,-0.428414279147673,0.103,0.282,1,"Macrophages","Bcl9l"
"Il2rb.9",9.57840368345234e-05,-1.03618288445619,0.103,0.36,1,"Macrophages","Il2rb"
"4933434E20Rik",9.69085889303073e-05,-0.457089145084118,0.128,0.305,1,"Macrophages","4933434E20Rik"
"Atad2b",9.71206639034299e-05,-0.446458285078756,0.103,0.285,1,"Macrophages","Atad2b"
"Bin2.3",9.8103323396921e-05,-0.352944141668366,0.385,0.608,1,"Macrophages","Bin2"
"Gpd2.2",9.95168393061017e-05,-0.419759351790697,0.154,0.266,1,"Macrophages","Gpd2"
"Anp32a.4",9.98208729112446e-05,-0.440974187506682,0.436,0.729,1,"Macrophages","Anp32a"
"Emilin2.8",0.000100894548851216,0.793152833709903,0.436,0.274,1,"Macrophages","Emilin2"
"Pdzd8",0.000101233102507025,-0.35278615855908,0.179,0.255,1,"Macrophages","Pdzd8"
"Prdx2.3",0.000102436003899003,0.997675844374328,0.436,0.317,1,"Macrophages","Prdx2"
"Rbbp6.1",0.000105356689988198,-0.356568225568117,0.333,0.5,1,"Macrophages","Rbbp6"
"Ifi206.4",0.000106549661701045,-0.472400517870095,0.051,0.273,1,"Macrophages","Ifi206"
"Zmym5.2",0.000107848238677029,-0.512864795024123,0.103,0.31,1,"Macrophages","Zmym5"
"Slbp.3",0.000108215964898968,-0.429576062890886,0.205,0.314,1,"Macrophages","Slbp"
