"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Msrb1",1.76980392023638e-41,0.997303777638916,0.884,0.391,2.34021172372856e-37,"Neutrophils","Msrb1"
"Tpd52",2.41363014427999e-41,0.833369887080007,0.867,0.336,3.19154313978143e-37,"Neutrophils","Tpd52"
"Ehd1",2.61307249297465e-41,1.04804536422336,0.78,0.211,3.45526575746039e-37,"Neutrophils","Ehd1"
"Slc16a3",3.69167401852958e-41,1.42072038658838,0.706,0.133,4.88150055470167e-37,"Neutrophils","Slc16a3"
"Oasl2",5.53156412688757e-41,1.44077984639836,0.612,0.047,7.31438724498343e-37,"Neutrophils","Oasl2"
"Sp140",6.0700893004353e-41,1.13827842165164,0.781,0.234,8.0264790819656e-37,"Neutrophils","Sp140"
"Gnas",6.10572629796308e-41,-0.893680458490524,0.399,0.453,8.07360188379659e-37,"Neutrophils","Gnas"
"Hspe1",7.17106094482064e-41,-1.39964771747346,0.021,0.328,9.48229388733633e-37,"Neutrophils","Hspe1"
"Marcks",5.3225634048813e-40,1.09133278833153,0.809,0.266,7.03802559027454e-36,"Neutrophils","Marcks"
"Tma7",1.07296139311251e-39,-1.08788718473383,0.255,0.461,1.41877685011267e-35,"Neutrophils","Tma7"
"Smox",2.26511155608064e-39,0.958122499418567,0.846,0.32,2.99515701060543e-35,"Neutrophils","Smox"
"Ncl",3.26637942726737e-39,-1.39131928785801,0.186,0.484,4.31913351667564e-35,"Neutrophils","Ncl"
"Il1f9",5.89111794793355e-39,1.33811445501275,0.648,0.086,7.78982526255253e-35,"Neutrophils","Il1f9"
"Arg2",9.45202491416134e-39,1.03784238408679,0.699,0.133,1.24984125439955e-34,"Neutrophils","Arg2"
"Btg1",3.42829633929883e-38,0.483761259427943,0.972,0.625,4.53323624945484e-34,"Neutrophils","Btg1"
"Cox4i1",4.01256063381814e-38,-0.955788973191487,0.405,0.523,5.30580892609772e-34,"Neutrophils","Cox4i1"
